Time,Loc_001,Loc_002,Loc_003,Loc_004
0,0,0,0,0
0.25,0.950642523,0.475321262,0.712981893,0.712981893
0.5,1.186401869,0.593200935,0.889801402,0.889801402
0.75,1.6275,0.81375,1.220625,1.220625
1,0.832129089,0.416064544,0.624096817,0.624096817
1.25,0.684462617,0.342231308,0.513346963,0.513346963
1.5,0.638831776,0.319415888,0.479123832,0.479123832
1.75,0.555175234,0.277587617,0.416381425,0.416381425
2,0.41067757,0.205338785,0.308008178,0.308008178
2.25,0.479123832,0.239561916,0.359342874,0.359342874
2.5,0.357441589,0.178720794,0.268081192,0.268081192
2.75,0.281390187,0.140695093,0.21104264,0.21104264
3,0.220549065,0.110274533,0.165411799,0.165411799
3.25,0,0,0,0
